ACCESSION	Ratio G-6h / Sh 6h	Log2 Ratio G-6h / Sh 6h	Ratio G+6h / Sh6h	Log2 Ratio G+6h / Sh6h	Ratio G-24h / Sh24h	Log2 Ratio G-24h / Sh24h	Ratio G+24h / Sh24h	Log2 G+24h / Sh24h	DEFINITION	TargetID	SYMBOL	
NM_007313	NaN	NaN	NaN	NaN	1.51	0.59	1.2	0.26	Homo sapiens v-abl Abelson murine leukemia viral oncogene homolog 1 (ABL1), transcript variant b, mRNA.	ILMN_22641	ABL1	
NM_023928	1.06	0.08	0.94	-0.09	0.51	-0.96	0.77	-0.37	Homo sapiens acetoacetyl-CoA synthetase (AACS), mRNA.	ILMN_22643	AACS	
NM_017865	0.77	-0.37	1.13	0.17	0.98	-0.03	1.11	0.15	Homo sapiens zinc finger protein 692 (ZNF692), mRNA.	ILMN_22649	ZNF692	
NM_194331	1.17	0.23	1.04	0.05	1.43	0.51	1.3	0.38	Homo sapiens ring finger protein 38 (RNF38), transcript variant 4, mRNA.	ILMN_22656	RNF38	
NM_020843	NaN	NaN	NaN	NaN	1.01	0.01	0.98	-0.02	Homo sapiens zinc finger protein 291 (ZNF291), mRNA.	ILMN_22657	ZNF291	
NM_016215	1.04	0.06	0.73	-0.45	1.56	0.64	2.2	1.14	Homo sapiens EGF-like-domain, multiple 7 (EGFL7), transcript variant 1, mRNA.	ILMN_22658	EGFL7	
NM_183009	NaN	NaN	NaN	NaN	0.81	-0.3	NaN	NaN	Homo sapiens KIAA1429 (KIAA1429), transcript variant 2, mRNA.	ILMN_22663	KIAA1429	
NM_015986	0.73	-0.46	0.73	-0.46	1.35	0.43	1.39	0.47	Homo sapiens cytokine receptor-like factor 3 (CRLF3), mRNA.	ILMN_22668	CRLF3	
NM_030577	NaN	NaN	NaN	NaN	1.06	0.08	0.84	-0.26	Homo sapiens hypothetical protein MGC10993 (MGC10993), mRNA.	ILMN_22670	MGC10993	
NM_016401	0.87	-0.21	0.14	-2.81	0.91	-0.13	0.97	-0.04	Homo sapiens hypothetical protein HSPC138 (HSPC138), mRNA.	ILMN_22672	HSPC138	
NM_000368	1.3	0.38	1.3	0.38	0.93	-0.1	0.9	-0.15	Homo sapiens tuberous sclerosis 1 (TSC1), transcript variant 1, mRNA.	ILMN_2268	TSC1	
NM_001004333	0.68	-0.56	0.76	-0.39	1.16	0.21	1.15	0.2	Homo sapiens similar to DNA segment, Chr 11, Brigham & Womens Genetics 0434 expressed (MGC71993), mRNA.	ILMN_22687	MGC71993	
NM_014287	1.06	0.08	0.92	-0.12	0.76	-0.39	0.75	-0.41	Homo sapiens NODAL modulator 1 (NOMO1), mRNA.	ILMN_22691	NOMO1	
NM_198432	1.5	0.59	1.27	0.34	1.1	0.14	1.14	0.18	Homo sapiens regulator of G-protein signalling 12 (RGS12), transcript variant 5, mRNA.	ILMN_22700	RGS12	
NM_080669	0.28	-1.82	0.51	-0.97	0.49	-1.04	0.36	-1.49	Homo sapiens heme carrier protein 1 (HCP1), mRNA.	ILMN_22707	HCP1	
NM_005768.5	0.82	-0.28	0.95	-0.07	0.73	-0.45	0.83	-0.26	Homo sapiens O-acyltransferase (membrane bound) domain containing 5 (OACT5), mRNA.	ILMN_22717	OACT5	
NM_004593	1.12	0.17	1.07	0.09	0.85	-0.23	0.88	-0.19	Homo sapiens splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila) (SFRS10), mRNA.	ILMN_22721	SFRS10	
NM_004798	0.9	-0.15	0.6	-0.73	1.18	0.24	0.92	-0.12	Homo sapiens kinesin family member 3B (KIF3B), mRNA.	ILMN_22722	KIF3B	
NM_198197	0.87	-0.2	0.79	-0.34	1	0	0.97	-0.04	Homo sapiens ubiquitin-activating enzyme E1C (UBA3 homolog, yeast) (UBE1C), transcript variant 3, mRNA.	ILMN_22726	UBE1C	
NM_021005	NaN	NaN	NaN	NaN	1.35	0.43	1.02	0.02	Homo sapiens nuclear receptor subfamily 2, group F, member 2 (NR2F2), mRNA.	ILMN_22727	NR2F2	
NM_002972	1.57	0.66	1.2	0.26	1.69	0.75	1.72	0.78	Homo sapiens SET binding factor 1 (SBF1), transcript variant 1, mRNA.	ILMN_22729	SBF1	
NM_005402	1.37	0.46	1.26	0.34	1.91	0.93	2.66	1.41	Homo sapiens v-ral simian leukemia viral oncogene homolog A (ras related) (RALA), mRNA.	ILMN_22740	RALA	
NM_004059	NaN	NaN	NaN	NaN	0.94	-0.09	NaN	NaN	Homo sapiens cysteine conjugate-beta lyase	ILMN_22741	CCBL1	
NM_025075	0.62	-0.68	0.8	-0.33	0.81	-0.3	0.85	-0.23	Homo sapiens Ngg1 interacting factor 3 like 1 binding protein 1 (NIF3L1BP1), mRNA.	ILMN_22745	NIF3L1BP1	
NM_001977	1.32	0.4	1.27	0.35	0.66	-0.61	1.04	0.05	Homo sapiens glutamyl aminopeptidase (aminopeptidase A) (ENPEP), mRNA.	ILMN_22750	ENPEP	
NM_001979	0.34	-1.57	0.68	-0.56	0.22	-2.21	0.29	-1.78	Homo sapiens epoxide hydrolase 2, cytoplasmic (EPHX2), mRNA.	ILMN_22751	EPHX2	
NM_002332	0.45	-1.15	0.71	-0.48	0.62	-0.69	0.57	-0.81	Homo sapiens low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor) (LRP1), mRNA.	ILMN_22753	LRP1	
NM_001008735	0.56	-0.84	0.46	-1.12	1.09	0.12	1.11	0.16	Homo sapiens high-mobility group (nonhistone chromosomal) protein 1-like 1 (HMG1L1), mRNA.	ILMN_22757	HMG1L1	
NM_016504	0.97	-0.05	1.07	0.1	0.91	-0.14	0.75	-0.41	Homo sapiens mitochondrial ribosomal protein L27 (MRPL27), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.	ILMN_22762	MRPL27	
NM_020807	0.94	-0.09	1.02	0.03	0.73	-0.45	1.16	0.21	Homo sapiens zinc finger protein 319 (ZNF319), mRNA.	ILMN_22764	ZNF319	
NM_022760	NaN	NaN	1.56	0.64	NaN	NaN	NaN	NaN	Homo sapiens family with sequence similarity 113, member A (FAM113A), mRNA.	ILMN_22766	FAM113A	
NM_001001653	0.86	-0.22	0.92	-0.12	0.95	-0.07	1.04	0.06	Homo sapiens mediator of RNA polymerase II transcription, subunit 8 homolog (yeast) (MED8), transcript variant 4, mRNA.	ILMN_2277	MED8	
NM_138431	0.47	-1.09	0.97	-0.04	1.1	0.14	0.81	-0.3	Homo sapiens major facilitator superfamily domain containing 3 (MFSD3), mRNA.	ILMN_22771	MFSD3	
NM_013316	1.21	0.28	1.3	0.38	NaN	NaN	NaN	NaN	Homo sapiens CCR4-NOT transcription complex, subunit 4 (CNOT4), transcript variant 1, mRNA.	ILMN_22777	CNOT4	
NM_020368	1.49	0.57	1.45	0.54	0.65	-0.62	0.7	-0.52	Homo sapiens disrupter of silencing 10 (SAS10), mRNA.	ILMN_22785	SAS10	
NM_145648	1.5	0.58	1.84	0.88	1.49	0.57	1.34	0.42	Homo sapiens solute carrier family 15, member 4 (SLC15A4), mRNA.	ILMN_2279	SLC15A4	
NM_012456	1.48	0.56	1.54	0.62	1.08	0.12	1.1	0.13	Homo sapiens translocase of inner mitochondrial membrane 10 homolog (yeast) (TIMM10), mRNA.	ILMN_22808	TIMM10	
NM_194278	1.84	0.88	2.5	1.32	0.99	-0.02	0.67	-0.57	Homo sapiens chromosome 14 open reading frame 43 (C14orf43), mRNA.	ILMN_22813	C14orf43	
NM_018195	1.41	0.5	1.25	0.33	0.96	-0.06	0.99	-0.02	Homo sapiens hypothetical protein FLJ10726 (FLJ10726), mRNA.	ILMN_22814	FLJ10726	
NM_005258	0.42	-1.24	0.73	-0.46	0.64	-0.64	0.67	-0.59	Homo sapiens GTP cyclohydrolase I feedback regulator (GCHFR), mRNA.	ILMN_22818	GCHFR	
NM_017599	1.08	0.11	0.88	-0.18	1.05	0.07	0.87	-0.2	Homo sapiens vezatin, adherens junctions transmembrane protein (VEZT), mRNA.	ILMN_22823	VEZT	
NM_000285	0.62	-0.7	0.81	-0.31	0.82	-0.29	0.8	-0.31	Homo sapiens peptidase D (PEPD), mRNA.	ILMN_22829	PEPD	
NM_173793	NaN	NaN	1.03	0.04	0.87	-0.2	1.21	0.27	Homo sapiens hypothetical protein LOC128977 (LOC128977), mRNA.	ILMN_22831	LOC128977	
NM_004255	1.53	0.61	1.28	0.35	1.76	0.82	2.56	1.35	Homo sapiens cytochrome c oxidase subunit Va (COX5A), nuclear gene encoding mitochondrial protein, mRNA.	ILMN_22835	COX5A	
NM_017724	2.04	1.03	1.24	0.31	1.12	0.16	1.04	0.06	Homo sapiens leucine rich repeat (in FLII) interacting protein 2 (LRRFIP2), transcript variant 2, mRNA.	ILMN_22839	LRRFIP2	
NM_015480	0.65	-0.63	0.52	-0.96	1.08	0.11	1.05	0.07	Homo sapiens poliovirus receptor-related 3 (PVRL3), mRNA.	ILMN_2284	PVRL3	
NM_198232	NaN	NaN	NaN	NaN	2.29	1.2	1.14	0.19	Homo sapiens ribonuclease, RNase A family, 1 (pancreatic) (RNASE1), transcript variant 3, mRNA.	ILMN_22847	RNASE1	
NM_194359	1.2	0.27	1.12	0.17	1.15	0.2	1.09	0.12	Homo sapiens ring finger protein 41 (RNF41), transcript variant 3, mRNA.	ILMN_22848	RNF41	
NM_018337	NaN	NaN	0.52	-0.93	0.47	-1.08	0.32	-1.66	Homo sapiens zinc finger protein 444 (ZNF444), mRNA.	ILMN_22849	ZNF444	
NM_016586	0.87	-0.2	0.78	-0.36	1.08	0.11	1.04	0.05	Homo sapiens MAP3K12 binding inhibitory protein 1 (MBIP), mRNA.	ILMN_2285	MBIP	
NM_016732	0.79	-0.35	0.85	-0.23	1.66	0.73	2.15	1.1	Homo sapiens RNA binding protein, autoantigenic (hnRNP-associated with lethal yellow homolog (mouse)) (RALY), transcript variant 1, mRNA.	ILMN_22863	RALY	
NM_003910	1.3	0.38	0.9	-0.14	1.12	0.17	0.99	-0.01	Homo sapiens G10 protein (G10), mRNA.	ILMN_22866	G10	
NM_152487	NaN	NaN	0.38	-1.38	0.54	-0.9	0.51	-0.98	Homo sapiens transmembrane protein 56 (TMEM56), mRNA.	ILMN_22868	TMEM56	
NM_006327	0.97	-0.04	0.94	-0.1	1	0	1	0	Homo sapiens translocase of inner mitochondrial membrane 23 homolog (yeast) (TIMM23), mRNA.	ILMN_22871	TIMM23	
NM_024740	1.18	0.23	0.88	-0.18	0.86	-0.22	0.73	-0.46	Homo sapiens asparagine-linked glycosylation 9 homolog (yeast, alpha- 1,2-mannosyltransferase) (ALG9), mRNA.	ILMN_22873	ALG9	
NM_182565	1.56	0.64	1.6	0.67	1.19	0.25	1.29	0.37	Homo sapiens family with sequence similarity 100, member B (FAM100B), mRNA.	ILMN_22874	FAM100B	
NM_017615	0.94	-0.09	0.83	-0.27	1.24	0.31	1.33	0.42	Homo sapiens chromosome 10 open reading frame 86 (C10orf86), mRNA.	ILMN_22878	C10orf86	
NM_015701	0.9	-0.15	0.77	-0.38	0.53	-0.92	0.59	-0.76	Homo sapiens chromosome 2 open reading frame 30 (C2orf30), mRNA.	ILMN_22881	C2orf30	
NM_018434	0.69	-0.54	0.84	-0.26	1.28	0.36	1.27	0.35	Homo sapiens ring finger protein 130 (RNF130), mRNA.	ILMN_22886	RNF130	
NM_003449	0.96	-0.05	1.19	0.25	1.04	0.05	1.11	0.15	Homo sapiens tripartite motif-containing 26 (TRIM26), mRNA.	ILMN_22923	TRIM26	
NM_020770	0.15	-2.73	0.39	-1.37	0.57	-0.82	0.92	-0.11	Homo sapiens cingulin (CGN), mRNA.	ILMN_22926	CGN	
NM_001683	NaN	NaN	NaN	NaN	0.35	-1.52	0.3	-1.72	Homo sapiens ATPase, Ca++ transporting, plasma membrane 2 (ATP2B2), transcript variant 2, mRNA.	ILMN_22931	ATP2B2	
NM_052932	0.61	-0.71	0.66	-0.59	0.38	-1.4	0.39	-1.36	Homo sapiens transmembrane protein 123 (TMEM123), mRNA.	ILMN_22932	TMEM123	
NM_016056	0.8	-0.32	0.78	-0.35	0.82	-0.29	0.81	-0.31	Homo sapiens transmembrane BAX inhibitor motif containing 4 (TMBIM4), mRNA.	ILMN_22938	TMBIM4	
NM_005216	NaN	NaN	NaN	NaN	0.79	-0.34	0.9	-0.15	Homo sapiens dolichyl-diphosphooligosaccharide-protein glycosyltransferase (DDOST), mRNA.	ILMN_22943	DDOST	
NM_001863	0.62	-0.69	0.75	-0.42	0.71	-0.49	0.81	-0.31	Homo sapiens cytochrome c oxidase subunit Vib polypeptide 1 (ubiquitous) (COX6B1), mRNA.	ILMN_2295	COX6B1	
NM_024536	0.63	-0.66	0.63	-0.66	0.69	-0.54	0.59	-0.76	Homo sapiens chondroitin polymerizing factor (CHPF), mRNA.	ILMN_22953	CHPF	
NM_001002	1.11	0.15	0.91	-0.13	1.41	0.5	1.56	0.64	Homo sapiens ribosomal protein, large, P0 (RPLP0), transcript variant 1, mRNA.	ILMN_22954	RPLP0	
NM_004147	1.35	0.44	1.28	0.35	1.32	0.4	1.28	0.35	Homo sapiens developmentally regulated GTP binding protein 1 (DRG1), mRNA.	ILMN_22955	DRG1	
NM_006429	1.45	0.54	1.01	0.02	NaN	NaN	1.1	0.13	Homo sapiens chaperonin containing TCP1, subunit 7 (eta) (CCT7), transcript variant 1, mRNA.	ILMN_22959	CCT7	
NM_000317	0.65	-0.63	0.7	-0.52	0.73	-0.45	0.56	-0.84	Homo sapiens 6-pyruvoyltetrahydropterin synthase (PTS), mRNA.	ILMN_22962	PTS	
NM_000081	1.74	0.8	2.65	1.4	1.22	0.29	1.96	0.97	Homo sapiens lysosomal trafficking regulator (LYST), transcript variant 1, mRNA.	ILMN_22965	LYST	
NM_013333	0.82	-0.29	0.8	-0.32	1.09	0.13	0.94	-0.09	Homo sapiens epsin 1 (EPN1), mRNA.	ILMN_22968	EPN1	
NM_005730	0.83	-0.28	0.63	-0.66	1.05	0.07	0.85	-0.23	Homo sapiens CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2 (CTDSP2), mRNA.	ILMN_2297	CTDSP2	
NM_002669	1.19	0.25	1.06	0.08	0.92	-0.12	0.66	-0.59	Homo sapiens pleiotropic regulator 1 (PRL1 homolog, Arabidopsis) (PLRG1), mRNA.	ILMN_22972	PLRG1	
NM_000819	0.91	-0.14	1.23	0.29	0.8	-0.32	0.94	-0.09	Homo sapiens phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase (GART), transcript variant 1, mRNA.	ILMN_22974	GART	
NM_000301	0.58	-0.78	0.76	-0.39	0.44	-1.19	0.39	-1.37	Homo sapiens plasminogen (PLG), mRNA.	ILMN_22981	PLG	
NM_199122	0.82	-0.29	1.14	0.19	1.44	0.53	1.53	0.62	Homo sapiens transforming growth factor beta regulator 4 (TBRG4), transcript variant 3, mRNA.	ILMN_22982	TBRG4	
NM_015214	1.25	0.32	0.99	-0.01	1.17	0.23	1.12	0.16	Homo sapiens DDHD domain containing 2 (DDHD2), mRNA.	ILMN_22988	DDHD2	
NM_020812	NaN	NaN	NaN	NaN	1.88	0.91	2.23	1.16	Homo sapiens dedicator of cytokinesis 6 (DOCK6), mRNA.	ILMN_22993	DOCK6	
NM_015665	NaN	NaN	0.78	-0.36	0.82	-0.28	0.87	-0.19	Homo sapiens achalasia, adrenocortical insufficiency, alacrimia (Allgrove, triple-A) (AAAS), mRNA.	ILMN_22994	AAAS	
NM_018259	0.97	-0.04	1.25	0.32	0.6	-0.74	0.57	-0.81	Homo sapiens tetratricopeptide repeat domain 17 (TTC17), mRNA.	ILMN_22995	TTC17	
NM_020236	0.85	-0.23	0.89	-0.17	0.89	-0.17	0.9	-0.16	Homo sapiens mitochondrial ribosomal protein L1 (MRPL1), nuclear gene encoding mitochondrial protein, mRNA.	ILMN_22997	MRPL1	
NM_016466	NaN	NaN	NaN	NaN	1.09	0.13	1.09	0.12	Homo sapiens ankyrin repeat domain 39 (ANKRD39), mRNA.	ILMN_23002	ANKRD39	
NM_181713	0.58	-0.79	0.67	-0.58	1.32	0.4	1.38	0.47	Homo sapiens UBX domain containing 4 (UBXD4), mRNA.	ILMN_23019	UBXD4	
NM_018375	1.04	0.06	1.16	0.22	0.77	-0.38	0.64	-0.65	Homo sapiens solute carrier family 39 (zinc transporter), member 9 (SLC39A9), mRNA.	ILMN_2302	SLC39A9	
NM_019082	1.1	0.14	1.08	0.11	0.84	-0.25	0.84	-0.25	Homo sapiens DEAD (Asp-Glu-Ala-Asp) box polypeptide 56 (DDX56), mRNA.	ILMN_23028	DDX56	
NM_001005498	1.41	0.5	1.15	0.2	NaN	NaN	NaN	NaN	Homo sapiens rhomboid 5 homolog 2 (Drosophila) (RHBDF2), transcript variant 2, mRNA.	ILMN_23030	RHBDF2	
NM_052972	1.21	0.28	2.63	1.4	1.87	0.9	1.05	0.07	Homo sapiens leucine-rich alpha-2-glycoprotein 1 (LRG1), mRNA.	ILMN_23044	LRG1	
NM_032784	2.73	1.45	2.09	1.06	1	0.01	0.94	-0.09	Homo sapiens R-spondin 3 homolog (Xenopus laevis) (RSPO3), mRNA.	ILMN_23047	RSPO3	
NM_004069	0.99	-0.01	1.19	0.26	1.34	0.42	1.29	0.36	Homo sapiens adaptor-related protein complex 2, sigma 1 subunit (AP2S1), transcript variant AP17, mRNA.	ILMN_23048	AP2S1	
NM_015645	NaN	NaN	NaN	NaN	1.01	0.01	0.84	-0.25	Homo sapiens C1q and tumor necrosis factor related protein 5 (C1QTNF5), mRNA.	ILMN_23052	C1QTNF5	
NM_003908	1.52	0.6	1.19	0.24	0.87	-0.2	0.9	-0.15	Homo sapiens eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa (EIF2S2), mRNA.	ILMN_23053	EIF2S2	
NM_024334	1.45	0.54	1.06	0.08	1.45	0.54	1.25	0.32	Homo sapiens transmembrane protein 43 (TMEM43), mRNA.	ILMN_23054	TMEM43	
NM_001098	0.51	-0.96	0.49	-1.02	1.18	0.24	1.49	0.58	Homo sapiens aconitase 2, mitochondrial (ACO2), nuclear gene encoding mitochondrial protein, mRNA.	ILMN_23057	ACO2	
NM_001188	3.06	1.61	3.41	1.77	1.89	0.92	2.31	1.21	Homo sapiens BCL2-antagonist/killer 1 (BAK1), mRNA.	ILMN_23059	BAK1	
NM_000089	0.29	-1.78	0.69	-0.53	2.7	1.43	2.29	1.19	Homo sapiens collagen, type I, alpha 2 (COL1A2), mRNA.	ILMN_23060	COL1A2	
NM_152778	0.71	-0.5	0.69	-0.53	1.06	0.09	0.88	-0.18	Homo sapiens hypothetical protein MGC33302 (MGC33302), mRNA.	ILMN_23066	MGC33302	
NM_000848	NaN	NaN	1.69	0.76	NaN	NaN	NaN	NaN	Homo sapiens glutathione S-transferase M2 (muscle) (GSTM2), mRNA.	ILMN_23069	GSTM2	
NM_002657	1.81	0.85	1.52	0.61	1.09	0.13	1.13	0.18	Homo sapiens pleiomorphic adenoma gene-like 2 (PLAGL2), mRNA.	ILMN_23071	PLAGL2	
NM_020948	1.56	0.65	1.63	0.7	1.08	0.11	1.05	0.07	Homo sapiens mesoderm induction early response 1 homolog (Xenopus laevis) (MIER1), mRNA.	ILMN_23077	MIER1	
NM_144563	1.77	0.82	1.65	0.72	1.17	0.23	1.73	0.79	Homo sapiens ribose 5-phosphate isomerase A (ribose 5-phosphate epimerase) (RPIA), mRNA.	ILMN_23078	RPIA	
NM_022572	1.79	0.84	0.98	-0.03	NaN	NaN	NaN	NaN	Homo sapiens paroxysmal nonkinesiogenic dyskinesia (PNKD), transcript variant 2, mRNA.	ILMN_23079	PNKD	
NM_016274	2.82	1.5	2.87	1.52	2.6	1.38	2.73	1.45	Homo sapiens pleckstrin homology domain containing, family O member 1 (PLEKHO1), mRNA.	ILMN_23081	PLEKHO1	
NM_004044	1.24	0.31	1.01	0.02	1.62	0.69	1.36	0.44	Homo sapiens 5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase (ATIC), mRNA.	ILMN_23084	ATIC	
NM_005989	0.23	-2.15	1.27	0.34	NaN	NaN	NaN	NaN	Homo sapiens aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase) (AKR1D1), mRNA.	ILMN_23094	AKR1D1	
NM_002484	1.72	0.78	1.56	0.64	1.25	0.32	1.2	0.27	Homo sapiens nucleotide binding protein 1 (MinD homolog, E. coli) (NUBP1), mRNA.	ILMN_23098	NUBP1	
NM_004249	0.83	-0.26	0.87	-0.19	0.82	-0.29	0.83	-0.26	Homo sapiens RAB28, member RAS oncogene family (RAB28), transcript variant 2, mRNA.	ILMN_23100	RAB28	
NM_018476	NaN	NaN	NaN	NaN	0.9	-0.15	NaN	NaN	Homo sapiens brain expressed, X-linked 1 (BEX1), mRNA.	ILMN_23116	BEX1	
NM_014701	1.06	0.08	0.85	-0.23	1.1	0.14	1.1	0.14	Homo sapiens KIAA0256 gene product (KIAA0256), mRNA.	ILMN_23132	KIAA0256	
NM_022827	NaN	NaN	1.28	0.35	NaN	NaN	NaN	NaN	Homo sapiens spermatogenesis associated 20 (SPATA20), mRNA.	ILMN_23134	SPATA20	
NM_173825	1.23	0.3	1	0	1.14	0.19	1.04	0.05	Homo sapiens RAB, member of RAS oncogene family-like 3 (RABL3), mRNA.	ILMN_23148	RABL3	
NM_002431	1.24	0.32	1.19	0.25	1.06	0.09	0.81	-0.31	Homo sapiens menage a trois homolog 1, cyclin H assembly factor (Xenopus laevis) (MNAT1), mRNA.	ILMN_23149	MNAT1	
NM_080725	1.8	0.85	0.62	-0.68	1.05	0.07	1.39	0.48	Homo sapiens sulfiredoxin 1 homolog (S. cerevisiae) (SRXN1), mRNA.	ILMN_23153	SRXN1	
NM_030583	0.9	-0.16	0.86	-0.22	0.27	-1.91	NaN	NaN	Homo sapiens matrilin 2 (MATN2), transcript variant 2, mRNA.	ILMN_23162	MATN2	
NM_024610	NaN	NaN	NaN	NaN	1.36	0.45	0.95	-0.07	Homo sapiens HSPB (heat shock 27kDa) associated protein 1 (HSPBAP1), mRNA.	ILMN_23171	HSPBAP1	
NM_033082	0.85	-0.23	0.87	-0.21	1.25	0.33	1.23	0.29	Homo sapiens cytokine induced protein 29 kDa (CIP29), mRNA.	ILMN_23177	CIP29	
NM_006332	1.26	0.34	1.51	0.6	1.88	0.91	2	1	Homo sapiens interferon, gamma-inducible protein 30 (IFI30), mRNA.	ILMN_23180	IFI30	
NM_024775	0.67	-0.57	0.82	-0.29	0.72	-0.47	0.66	-0.59	Homo sapiens gem (nuclear organelle) associated protein 6 (GEMIN6), mRNA.	ILMN_23187	GEMIN6	
NM_002419	0.89	-0.17	0.88	-0.19	0.85	-0.23	0.93	-0.1	Homo sapiens mitogen-activated protein kinase kinase kinase 11 (MAP3K11), mRNA.	ILMN_23190	MAP3K11	
NM_001325	1.23	0.3	1.16	0.21	0.82	-0.28	1	0	Homo sapiens cleavage stimulation factor, 3' pre-RNA, subunit 2, 64kDa (CSTF2), mRNA.	ILMN_23194	CSTF2	
NM_017816	1.88	0.91	1.52	0.6	0.82	-0.28	1.11	0.15	Homo sapiens hypothetical protein FLJ20425 (LYAR), mRNA.	ILMN_23200	LYAR	
NM_001014433	0.53	-0.9	0.8	-0.33	0.85	-0.23	0.87	-0.2	Homo sapiens cutA divalent cation tolerance homolog (E. coli) (CUTA), transcript variant 1, mRNA.	ILMN_23204	CUTA	
NM_001937	0.99	-0.02	0.83	-0.27	0.52	-0.94	0.41	-1.3	Homo sapiens dermatopontin (DPT), mRNA.	ILMN_23209	DPT	
NM_052855	1.57	0.65	1.23	0.3	1.05	0.07	1.04	0.05	Homo sapiens ankyrin repeat domain 40 (ANKRD40), mRNA.	ILMN_23218	ANKRD40	
NM_152388	0.9	-0.16	NaN	NaN	1.16	0.21	0.86	-0.21	Homo sapiens amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 4 (ALS2CR4), mRNA.	ILMN_23219	ALS2CR4	
NM_018602	1.11	0.16	1	-0.01	NaN	NaN	NaN	NaN	Homo sapiens DnaJ (Hsp40) homolog, subfamily A, member 4 (DNAJA4), mRNA.	ILMN_23222	DNAJA4	
NM_022737	0.57	-0.81	0.69	-0.53	0.71	-0.5	0.64	-0.63	Homo sapiens lipid phosphate phosphatase-related protein type 2 (LPPR2), mRNA.	ILMN_23233	LPPR2	
NM_173497	NaN	NaN	NaN	NaN	NaN	NaN	0.79	-0.35	Homo sapiens HECT domain containing 2 (HECTD2), transcript variant 2, mRNA.	ILMN_23234	HECTD2	
NM_024100	1.16	0.21	0.86	-0.22	0.98	-0.03	0.92	-0.12	Homo sapiens WD repeat domain 18 (WDR18), mRNA.	ILMN_23247	WDR18	
NM_018341	0.5	-1.01	0.54	-0.88	0.91	-0.13	0.87	-0.2	Homo sapiens chromosome 6 open reading frame 70 (C6orf70), mRNA.	ILMN_23256	C6orf70	
NM_198450	0.73	-0.45	0.69	-0.53	1.1	0.14	1.2	0.26	Homo sapiens chromosome X open reading frame 33 (CXorf33), mRNA.	ILMN_23257	CXorf33	
NM_001669	0.44	-1.19	0.65	-0.63	0.7	-0.51	0.81	-0.31	Homo sapiens arylsulfatase D (ARSD), transcript variant 1, mRNA.	ILMN_23258	ARSD	
NM_198514	0.77	-0.38	0.98	-0.03	1.3	0.38	1.06	0.09	Homo sapiens NHL repeat containing 2 (NHLRC2), mRNA.	ILMN_23260	NHLRC2	
NM_002893	0.61	-0.72	0.67	-0.57	0.84	-0.25	0.99	-0.01	Homo sapiens retinoblastoma binding protein 7 (RBBP7), mRNA.	ILMN_23265	RBBP7	
NM_139045	0.21	-2.27	0.64	-0.65	0.46	-1.12	0.42	-1.27	Homo sapiens SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2 (SMARCA2), transcript variant 2, mRNA.	ILMN_23270	SMARCA2	
NM_201414	1.22	0.28	1.17	0.23	0.94	-0.09	0.77	-0.38	Homo sapiens amyloid beta (A4) precursor protein (peptidase nexin-II, Alzheimer disease) (APP), transcript variant 3, mRNA.	ILMN_23272	APP	
NM_003144	0.85	-0.24	0.79	-0.35	0.46	-1.11	0.44	-1.19	Homo sapiens signal sequence receptor, alpha (translocon-associated protein alpha) (SSR1), mRNA.	ILMN_23274	SSR1	
NM_002919	1.56	0.64	1.39	0.48	1.05	0.07	1.11	0.14	Homo sapiens regulatory factor X, 3 (influences HLA class II expression) (RFX3), transcript variant 1, mRNA.	ILMN_23277	RFX3	
NM_006178	0.71	-0.49	0.65	-0.62	1.03	0.05	0.99	-0.02	Homo sapiens N-ethylmaleimide-sensitive factor (NSF), mRNA.	ILMN_23282	NSF	
NM_012474	2.56	1.35	2.25	1.17	1.35	0.43	1.42	0.51	Homo sapiens uridine-cytidine kinase 2 (UCK2), mRNA.	ILMN_23283	UCK2	
NM_003549	0.58	-0.79	0.97	-0.05	0.5	-0.99	0.9	-0.16	Homo sapiens hyaluronoglucosaminidase 3 (HYAL3), mRNA.	ILMN_23286	HYAL3	
NM_003958	0.98	-0.03	NaN	NaN	1.37	0.45	1.37	0.45	Homo sapiens ring finger protein 8 (RNF8), transcript variant 1, mRNA.	ILMN_23289	RNF8	
NM_012151	0.89	-0.17	0.99	-0.02	1.03	0.05	0.74	-0.44	Homo sapiens coagulation factor VIII-associated (intronic transcript) 1 (F8A1), mRNA.	ILMN_23293	F8A1	
NM_020954	0.82	-0.29	0.82	-0.29	0.82	-0.29	0.81	-0.31	Homo sapiens KIAA1618 (KIAA1618), mRNA.	ILMN_23294	KIAA1618	
