ANALYSENR	LABORNR	RAUMSCHLUESSEL	LAND	FUNDORT	FUNDPLATZ	ORTNR	LAENGENGRAD	BREITENGRAD	MUSEUM	ZEITSTUFE	KULTUR	C14DATIERUNG	OBJEKTTYP	OBJEKT	VCU	CU	VSN	SN	VPB	PB	VAS	AS	VSB	SB	VAG	AG	VNI	NI	VBI	BI	VAU	AU	VZN	ZN	VCO	CO	VFE	FE	GEWICHT	DOPPELANALYSE
239	00004	62	D	Oberwilflingen, Ostalbkreis	Depot	7140	10.422	48.943	Stuttgart, WLM 50/5d	5			710	Gußbrocken		0		0		0		0.02	1	0		0		0.05	6	0.001	0	0		0		0.01		0.02		
240	00005	62	D	Oberwilflingen, Ostalbkreis	Depot	7140	10.422	48.943	Stuttgart, WLM 50/5e	5			710	Gußbrocken		0		0	1	0		0.1		0		0		0.07	6	0.001	0	0		0	2	0	1	0		
241	00006	62	D	Oberwilflingen, Ostalbkreis	Depot	7140	10.422	48.943	Stuttgart, WLM 50/5f	5			710	Gußbrocken		0		0	1	0		0.03	1	0		0.02		0.07	6	0.001	0	0		0		0		0.01		
242	00095	94	D	Oldesloe, Kr.Stormarn	Einzf. bei Poggensee	3778	10.367	53.817	Privbes.	5			125	Knaufhammeraxt		0	7	15		0.02		0.21		0.13		0.01		0.5		0.001		0		0	3	0		0.14		
243	00333	62	D	Ostrach, Kr. Sigmaringen	Angebl. aus Grabhügel	3859	9.400	47.950	Sigmaringen 1227	3			603	Rollennadel m. ellipt. Kopfplatte		0		2.35		0		0.28		0.65		0.32		0.51		0		0		0		0		0		
244	00115	66	D	Wallersdorf, Gem. Otzing, Kr. Deggendorf	Grab oder aus Gräbern	3869	12.817	48.767	München, Stslg. 1905, 247	4			613	Ringkopfnadel		0		8.6	6	0.01	6	0.1		0.6		0.05		0.17		0.03		0		0		0		0.1		
245	00138	66	D	Wallersdorf, Gem. Otzing, Kr. Deggendorf	Grab, Fdst. 1	3869	12.817	48.767	München, Stslg. 1905, 240	3			212	Dolch, 4 Niete, Seitenrillen		0		4.4		0	6	0.1		0.08		0.7		0.25		0.003		0		0		0	1	0		
246	00205	66	D	Wallersdorf, Gem. Otzing, Kr. Deggendorf	Grab, Fdst. 1	3869	12.817	48.767	München, Stslg. 1905, 241	3			403	Ösenhalsring		0		0	1	0		1.6		1.75		0.42		0.001	9	0.1		0		0		0	6	0.01		
247	00277	66	D	Pleitmannswang, Kr.Fürst.F.Br.	Depot	4029	11.100	48.100	München, Stslg. 1935 a+b;1936;1937	3			702	Ösenringbarren, groß		0	1	0	6	0.1		0.13		0.03		0.1	6	0.01		0.01	0	0		0		0		0.09		*  85
248	00278	66	D	Pleitmannswang, Kr.Fürst.F.Br.	Depot	4029	11.100	48.100	München, Stslg. 1935 a+b;1936;1937	3			702	Ösenringbarren, groß		0		0	6	0.1		0.07		0.03		0.04		0.01	9	0.001	0	0		0	0	0		0.05		
249	00279	66	D	Pleitmannswang, Kr.Fürst.F.Br.	Depot	4029	11.100	48.100	München, Stslg. 1935 a+b;1936;1937	3			702	Ösenringbarren, groß		0	1	0	6	0.1		0.32		0.03	6	0.04	6	0.01	9	0.01	0	0		0		0		0.06		
250	00280	66	D	Pleitmannswang, Kr.Fürst.F.Br.	Depot	4029	11.100	48.100	München, Stslg. 1935 a+b;1936;1937	3			702	Ösenringbarren, groß		0	1	0	6	0.1		0.1		0.05	6	0.04	6	0.01	9	0.001	0	0		0		0		0.07		
251	00018	62	D	Ravensburg	Depot	4265	9.617	47.783	Stuttgart, WLM 7274b	3			409	Spirale		0		0		0		0.7		0.46		0.43		0.001		0		0		0		0		0		
252	00425	62	D	Ravensburg	Depot	4265	9.617	47.783	Stuttgart, WLM 7274b	3			110	Randleistenbeil, Typ Salez (3 An.)		0	1	0		0.52		1.66		2		0.28		3		0.001	2	0		0	3	0	6	0.01		#  88
253	00426	62	D	Ravensburg	Depot	4265	9.617	47.783	Stuttgart, WLM 7274b	3			110	Randleistenbeil, Typ Salez (3 An.)		0	1	0		0.53		1.55		2.1		0.23		3.2		0.001	2	0		0	3	0	6	0.01		#  88
254	00427	62	D	Ravensburg	Depot	4265	9.617	47.783	Stuttgart, WLM 7274b	3			110	Randleistenbeil, Typ Salez (3 An.)		0	1	0		0.62		1.6		2.3		0.21		3.6		0.001	2	0		0	3	0		0.01		#  88
255	00231	62	D	Reusten, Kr.Tübingen	Siedl.	4308	8.900	48.533	Slg. Tübingen	5			806	Pfriem		0		8.8		0		0.9		0.11		0.04		0.75	6	0.001		0		0		0	1	0		
256	00271	66	D	Reut, Kr.Laufen	Depot	4309	12.933	47.933	München, Stslg. H.V.43	3			702	Ösenringbarren		0		0.05	1	0		0.03		0.09	6	0.04		0.2	9	0.001	0	0		0	0	0		0.03		
257	00272	66	D	Reut, Kr.Laufen	Depot	4309	12.933	47.933	München, Stslg. H.V.38	3			702	Ösenringbarren		0	1	0		0	1	0	1	0	6	0.04		0.1	9	0.001	0	0		0		0	1	0		
258	00273	66	D	Reut, Kr.Laufen	Depot	4309	12.933	47.933	München, Stslg. H.V.44	3			702	Ösenringbarren		0	1	0	6	0.1		0.03		0.05		0.04	9	0.05		0.001	0	0		0		0		0.12		
259	00274	66	D	Reut, Kr.Laufen	Depot	4309	12.933	47.933	München, Stslg. H.V.37	3			702	Ösenringbarren		0	1	0	6	0.1		0.04		0.07	6	0.04		0.05	9	0.001	2	0		0	2	0		0.25		
260	00275	66	D	Reut, Kr.Laufen	Depot	4309	12.933	47.933	München, Stslg. H.V.42	3			702	Ösenringbarren		0	1	0	6	0.1	1	0	1	0	6	0.04	9	0.01	1	0	0	0		0		0		0.15		
261	00378	62	CH	Rheinfelden-Nollingen, Kt. Aargau	Einzf. im Altrheinbett	4316	7.800	47.567	Karlsruhe C7498	6			111	Randleistenbeil, Typ Herbrechtingen, Var. B		0		7.8	1	0		0.3		0.61		0.02		0.54	1	0	2	0		0	1	0		0.5		
262	00103	65	D	Ronsolden	Wohl aus Grabhügel	4382	11.717	49.200	Regensburg	3			607	Schleifennadel, cyprisch		0		6.2		2.1	6	0.1		0.25		0.02		0.65		0.001		0		0	2	0	9	0.01		
263	00239	66	D	Roth, Kr.Laufen	Depot	4402	12.950	47.933	München, Stslg. 1904, 191	3			702	Ösenringbarren		0		0		0		0.6		1.1		0.8		0.001	1	0		0		0		0	6	0.01		
264	00240	66	D	Roth, Kr.Laufen	Depot	4402	12.950	47.933	München, Stslg. 1904, 191	3			702	Ösenringbarren		0		0		0		1		1.8		1.2		0.001		0.03	0	0		0		0		0		
265	00241	66	D	Roth, Kr.Laufen	Depot	4402	12.950	47.933	München, Stslg. 1904, 191	3			702	Ösenringbarren		0		0		0		1.15		1.9		1.2		0.001		0.03		0		0		0	6	0.01		
266	00242	66	D	Roth, Kr.Laufen	Depot	4402	12.950	47.933	München, Stslg. 1904, 191	3			702	Ösenringbarren		0		0		0		0.6		1.5		0.8		0.001	9	0.001		0		0		0		0		
267	00243	66	D	Roth, Kr.Laufen	Depot	4402	12.950	47.933	München, Stslg. 1904, 191	3			702	Ösenringbarren		0		0		0		0.95		1.3		0.9		0.001		0.001	0	0		0		0		0		
268	00066	62	D	Rottenburg, Kr. Tübingen	Depot?	4404	8.917	48.467	Slg. Rottenburg	4			110	Randleistenbeil, fragm., Einzelform		0		5.9		0		0.55		0.81		0.02		0.001		0.012		0		0		0		0.03		
269	00091	62	D	Rottenburg, Kr. Tübingen	Depot?	4404	8.917	48.467	Slg. Rottenburg	4			212	Dolchklinge, 6 Niete, Mittelrippe		0		6.2		0.06		0.03		0.3		0.02		0.05		0.002		0		0		0	1	0		+4404
270	00092	62	D	Rottenburg, Kr. Tübingen	Depot?	4404	8.917	48.467	Slg. Rottenburg	4			213	Niet von Dolch 269		0		6.2		0.06		0.02		0.2		0.01		0.03		0.001		0		0		0	0	0		+4404
271	00093	62	D	Rottenburg, Kr. Tübingen	Depot?	4404	8.917	48.467	Slg. Rottenburg	4			403	Ösenhalsring		0		0.28		0.01		1.6		1.5		0.6		0.45		0.06		0	2	0	4	0		0.02		
272	00094	62	D	Rottenburg, Kr. Tübingen	Depot?	4404	8.917	48.467	Slg. Rottenburg	4			403	Ösenhalsring		0	1	0		0.01		0.92		1.3		0.58	1	0.001		0.08		0		0	2	0	1	0		
273	00418	62	D	Rottweil	Einzf.	4406	8.633	48.167	Stuttgart, WLM A 33/88	3			110	Randleistenbeil, Typ Salez (3 An.)		0	1	0		0.04		0.76		0.7		0.35		0.23		0.001		0		0		0		0		#  91
274	00419	62	D	Rottweil	Einzf.	4406	8.633	48.167	Stuttgart, WLM A 33/88	3			110	Randleistenbeil, Typ Salez (3 An.)		0	1	0		0.07		1.1		0.88		0.42		0.29		0.01		0		0	1	0		0		#  91
275	00420	62	D	Rottweil	Einzf.	4406	8.633	48.167	Stuttgart, WLM A 33/88	3			110	Randleistenbeil, Typ Salez (3 An.)		0	1	0		0.05		1.18		0.87		0.4		0.55		0.01		0		0		0		0		#  91
276	00141	66	D	Safferstetten, Kr. Grießbach	Grab 1	4482	13.333	48.367	München, Stslg. 1913/366	3	GBK		212	Dolch, 5 Niete, Glockenbecher?		0		0.02		0.18		0.14		0.06		0.2		0.2		0.03		0		0	1	0		0		*  93
277	00316	66	D	Schabenberg, Gem. Sulzbach	Depot	4566	11.467	48.517	München, Stslg. 1938/5	4			704	Spangenbarren		0		0	1	0		2.5		3.1		0.6		0.03	7	0.1	0	0		0		0		0.4		
278	00317	66	D	Schabenberg, Gem. Sulzbach	Depot	4566	11.467	48.517	München, Stslg. 1938/5	4			704	Spangenbarren		0		0		0		2.2		2.2		0.8		0.03	7	0.1		0		0		0		0.08		
279	00318	66	D	Schabenberg, Gem. Sulzbach	Depot	4566	11.467	48.517	München, Stslg. 1938/5	4			704	Spangenbarren		0		1.2	1	0		0.66		0.2	6	0.01		0.9	1	0		0		0		0		0.24		
280	00319	66	D	Schabenberg, Gem. Sulzbach	Depot	4566	11.467	48.517	München, Stslg. 1938/5	4			704	Spangenbarren		0	1	0		0		0.65		0.28	6	0.01		1.55		0		0		0	0	0	1	0		
281	00320	66	D	Schabenberg, Gem. Sulzbach	Depot	4566	11.467	48.517	München, Stslg. 1938/5	4			704	Spangenbarren		0		0		0		0.54		0.08	6	0.01		0.41		0		0		0		0	1	0		
282	00059	62	D	Scharnhausen, Kr. Esslingen	Einzf.	4571	9.267	48.700	Stuttgart, WLM A 251	4			118	Randleistenbeil, löffelförmig, Typ Lausanne I,B		0		8		0.04		0.32		0.26		0.1		0.2		0.02		0		0		0		0.45		
283	00457	94	D	Schleswig-Holstein	?	4590	9.667	54.333	Kiel, Univ.Slg.	6			224	Schwertblatt		0	9	15		0.08		0.47		0.88		0.05		1.3	6	0.01		0		0	2	0		0.5		
284	00012	62	D	Bad Schussenried, Kr. Biberach	Dep. Lissen II, Moorfund, urspr. 3 Ö`Ringe	331	9.667	48.000	Stuttgart, WLM A 3121	3			702	Ösenringbarren		0	1	0		0		2.2		1.3	7	0.4		0.04	7	0.1	0	0		0		0	1	0		*  95
285	00072	62	D	Bad Schussenried, Kr. Biberach	Dep. Lissen I, Moorfund	331	9.667	48.000	Stuttgart, WLM A 3120	4			702	Ösenringbarren, Ring v. Halsringkragen		0		14		0	9	0.008	1	0	1	0		0.07	6	0.001		0		0		0	6	0.01		*! 99
286	00073	62	D	Bad Schussenried, Kr. Biberach	Dep., Lissen I, Moorfund	331	9.667	48.000	Stuttgart, WLM A 3120	4			702	Ösenringbarren, Ring v. Halsringkragen		0		14	1	0		0.01	1	0	1	0		0.09	6	0.001		0		0		0	6	0.01		!  99
287	00074	62	D	Bad Schussenried, Kr. Biberach	Dep. Lissen I, Moorfund	331	9.667	48.000	Stuttgart, WLM A 3120	4			702	Ösenringbarren, Ring v. Halsringkragen		0		9		0		0.01	1	0	1	0		0.05	1	0		0		0		0	1	0		!  99
288	00454	94	D	Schwabstedt	Grab	4614	9.200	54.383	Privbes.	25			104	Flachbeil		0		0		0		0		0.03		0.16		0.001	9	0.003		0		0		0		0		
289	00015	62	D	Schwörzkirch, Gem. Allmendingen, Alb-Donau-Kreis	aus Gräbern	4629	9.767	48.317	Stuttgart, WLM 10329	3			403	Ösenhalsring		0		0.07		0.05		0.58		0.82		0.38		1.35		0		0		0		0		0		
290	00225	62	D	Schwörzkirch, Gem. Allmendingen, Alb-Donau-Kreis	Grab	4629	9.767	48.317	Tübingen	3			518	Blechtutulus		0		0.3		0		0.7		1.4		0.6	7	2		0		0		0		0		0		
291	00226	62	D	Schwörzkirch, Gem. Allmendingen, Alb-Donau-Kreis	Grab	4629	9.767	48.317	Tübingen	3			518	Blechtutulus		0	1	0		0		0.71		1.8		1	7	2		0		0		0	2	0	6	0.01		
292	00227	62	D	Schwörzkirch, Gem. Allmendingen, Alb-Donau-Kreis	Grab	4629	9.767	48.317	Tübingen	3			503	Röhrchen, verziert		0	1	0		0		0.3		0.75		1.1	7	2		0		0		0	2	0		0.01		* 101
293	00228	62	D	Schwörzkirch, Gem. Allmendingen, Alb-Donau-Kreis	Grab	4629	9.767	48.317	Tübingen	3			603	Nadel m. ellipt. Kopfplatte u. ger. Schaft		0		0		0	6	0.1		1		0.9		0.001	1	0		0		0		0		0		* 103
294	00235	62	D	Schwörzkirch, Gem. Allmendingen, Alb-Donau-Kreis	Grab	4629	9.767	48.317	Tübingen	3			403	Ösenhalsring		0	1	0	1	0		1.05		2		0.85	7	2		0		0		0	2	0		0		
295	00021	62	D	Schwörzkirch, Gem. Allmendingen, Alb-Donau-Kreis	Grab	4629	9.767	48.317	Stuttgart, WLM A 33/162a	3			409	Spirale		0	1	0		0		0.25		0.78		0.42		1.35		0		0		0	2	0		0.07		
296	00022	62	D	Schwörzkirch, Gem. Allmendingen, Alb-Donau-Kreis	Grab	4629	9.767	48.317	Stuttgart, WLM A 33/162b	3			409	Spirale		0		0		0.07		1.06		0.78		0.33		1.4		0		0		0	2	0		0		
297	00086	62	D	Seefelden	Depot	4636	7.650	47.867	Freiburg i.Br. 211	3			409	Spirale		0		0	6	0.01		1.1		1.1		0.46		0.01		0.06		0		0		0		0.03		
298	00087	62	D	Seefelden	Depot	4636	7.650	47.867	Freiburg i.Br. 209	3			409	Spirale		0		2.9		0.09		0.05		0.7		0.13		0.32		0.005		0		0		0		0.16		
299	00088	62	D	Seefelden	Depot	4636	7.650	47.867	Freiburg i.Br. 210	3			409	Spirale		0		0	6	0.01		0.73		1.4		0.7	1	0.001		0.1		0		0		0		0.03		
300	00089	62	D	Seefelden	Depot	4636	7.650	47.867	Freiburg i.Br. 212	3			409	Spirale		0	1	0	6	0.01		0.34		0.7		0.35		0.5		0.06		0		0	2	0		0.02		
301	00090	62	D	Seefelden	Depot	4636	7.650	47.867	Freiburg i.Br. 208	3			702	Ösenringbarren		0		0	6	0.01		0.95		0.78		0.59		0.01		0		0		0		0		0.04		
302	00196	66	D	Sengkofen, Kr. Regensburg	aus Gräbern	4656	12.300	48.917	Regensburg A 824	4			110	Randleistenbeil, löffelförmig, vgl. Typ Lausanne		0		8.1		0		0.27		0.48		0.37		0.09	1	0		0		0		0		0		
303	00197	66	D	Sengkofen, Kr. Regensburg	aus Gräbern	4656	12.300	48.917	Regensburg A 827	4			407	Armring mit Spitzenden		0		3	1	0		1.3		0.33		0.18		1.6		0.001	0	0		0		0		0		
304	00098	66	D	Sengkofen, Kr. Regensburg	aus Gräbern	4656	12.300	48.917	Regensburg A 829	4			616	Kugelkopfnadel m. verz. Kopf u. Hals		0		5.9	6	0.01		0.41		0.25		0.21		0.8		0.009		0		0	2	0		0.01		
305	00195	66	D	Sengkofen, Kr. Regensburg	aus Gräbern	4656	12.300	48.917	Regensburg A 823	4			111	Randleistenbeil, löffelförmig, vgl. Typ Lausanne		0		11		0		0.09		0.06		0.08		0.08	9	0.003		0		0		0		0		
306	00449	66	D	Sengkofen, Kr. Regensburg	aus Gräbern	4656	12.300	48.917	Regensburg	4			519	Spiraltutulus		0	9	12	1	0		0.4		0.5		0.09		0.3	9	0.01		0		0		0	1	0		
307	00450	66	D	Sengkofen, Kr. Regensburg	aus Gräbern	4656	12.300	48.917	Regensburg	4			403	Ringhalskragen (3 Analysen versch. Ringe)		0	9	4		0.07		0.06		0.1		0.03		0.15	9	0.01		0		0	2	0		0.5		
308	00451	66	D	Sengkofen, Kr. Regensburg	aus Gräbern	4656	12.300	48.917	Regensburg	4			403	Ringhalskragen (3 Analysen versch. Ringe)		0	9	9		0		0.19		0.1		0.04		0.2	9	0.001		0		0		0		0		
309	00452	66	D	Sengkofen, Kr. Regensburg	aus Gräbern	4656	12.300	48.917	Regensburg	4			403	Ringhalskragen (3 Analysen versch. Ringe)		0	9	5		0		0.14		0.1		0.04		0.25	9	0.001		0		0	2	0		0.06		
310	00453	66	D	Sengkofen, Kr. Regensburg	aus Gräbern	4656	12.300	48.917	Regensburg	4			519	Spiraltutulus mit abgebrochener Spitze		0	9	10		0		0.15		0.2		0.03		0.15		0		0		0		0		0.05		
311	00030	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 95	4717	8.833	47.750	Singen	3			212	Dolch, 3 Niete		0		0.12		0.01		0.105		0.92		0.01		0.07	6	0.001		0		0		0		0.01		
312	00031	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 98	4717	8.833	47.750	Singen	3			603	Scheibennadel m. ellipt. Kopfplatte		0	9	0.01		0.05		2.4		1.82		0.55		0.82	6	0.001		0		0	2	0	9	0.1		
313	00032	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 92	4717	8.833	47.750	Singen	3			605	Schleifennadel, Horkheimer Nadel		0		0		0.01		0.88		2.15		0.72		1.3	6	0.001	0	0		0	4	0		0.02		
314	00033	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 92	4717	8.833	47.750	Singen	3			409	Armspirale mit eingerollten Enden		0	9	0.01		0.02		0.55		2.4		0.55		0.68		0.002	1	0	1	0	2	0	9	0.5		
315	00034	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 96	4717	8.833	47.750	Singen	3			403	Ösenhalsring		0		0.34		0.03		0.94		2.8		0.6		0.94	6	0.001	1	0		0	4	0		0.06		
316	00035	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 96	4717	8.833	47.750	Singen	3			605	Schleifennadel, Horkheimer Nadel		0		0.04		0.13		0.72		1.55		0.58		1.35	6	0.001	1	0		0	4	0		0.03		
317	00036	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 96	4717	8.833	47.750	Singen	3			512	Halbmondförmige Zierscheibe		0	1	0		0.04		1.9		5.6		0.6		2.5		0.1	2	0	1	0	4	0		0.25		
318	00037	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 96	4717	8.833	47.750	Singen	3			409	Armspirale		0	1	0		0.02		0.4		2.05		0.58		0.97	6	0.001	1	0	1	0	4	0		0.08		
319	00038	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 84	4717	8.833	47.750	Singen	3			212	Dolch, 4 Niete, atlant. Dolch		0		4.1		0.04		0.45		2.5	0	0		0.79	6	0.001	1	0	1	0	2	0		0.02		+Si84
320	00039	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 84	4717	8.833	47.750	Singen	3			213	Niet der verz. Dolchklinge (SAMNR 319)		0		0.65		0.02		0.81		1.5		0.65		1.7	6	0.001	1	0		0	3	0		0.02		+Si84
321	00041	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 79	4717	8.833	47.750	Singen	3			605	Schleifennadel, Horkheimer Nadel		0	6	0.01		0.02		1.2		1.64		0.67		1.7	6	0.001	1	0	1	0	3	0		0.02		
322	00042	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 80	4717	8.833	47.750	Singen	3			403	Ösenhalsring		0		0		0.02		0.46		1.86		0.6		1.1	6	0.001		0		0	2	0		0.06		
323	00043	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 80	4717	8.833	47.750	Singen	3			409	Fußspirale		0		0.22		0.007		0.3		1.2		0.45		0.87	6	0.001	0	0	0	0	2	0		0.02		
324	00044	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 80	4717	8.833	47.750	Singen	3			409	Fußspirale		0		0.56		0.01		0.55		2.45		0.65		0.78		0.007	1	0	0	0	2	0		0.02		
325	00045	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 80	4717	8.833	47.750	Singen	3			604	Rudernadel, verziert		0		0.3		0.01		0.68		1.05		0.58		1.42	6	0.001	1	0	0	0	4	0		0.02		
326	00046	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 83	4717	8.833	47.750	Singen	3			403	Ösenhalsring		0		0.25	9	0.01		1.02		1.7		0.68		1.5	6	0.001	1	0	0	0	3	0		0.13		
327	00047	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 83	4717	8.833	47.750	Singen	3			806	Pfriem mit Mittelschwellung		0		0		0.13		1.38		1.18		0.5		1.5	6	0.001	1	0	0	0	2	0		0.05		
328	00048	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 83	4717	8.833	47.750	Singen	3			605	Schleifennadel, Horkheimer Nadel		0		0		0.03		0.32		2.1		0.55		0.81		0.009		0	0	0	2	0		0.04		
329	00049	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 83	4717	8.833	47.750	Singen	3			409	Armspirale		0	1	0		0.02		0.92		0.81		0.48		1.45	9	0.002	0	0	1	0	3	0		0.07		
330	00050	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 87	4717	8.833	47.750	Singen	3			409	Armspirale		0		0		0.05		0.7		1.3		0.35		1.6		0.025	2	0		0	4	0	0	0		
331	00051	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 87	4717	8.833	47.750	Singen	3			603	Scheibennadel, kl., eingerollte, ruderf. Kopfplatt		0		0.02		0.02		0.73		1.7		0.65		1.85		0.003	2	0	1	0	4	0		0.09		
332	00055	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 77	4717	8.833	47.750	Singen	3			212	Dolch, 3 Niete, eingez. Griffpl.		0		0.03		0.06		1.3		3.2		0.55		1.9		0.008		0		0	3	0		0.06		
333	00056	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 77	4717	8.833	47.750	Singen	3			409	Armspirale		0		0.02		0.06		1		1.3		0.45		1.65		0		0		0	2	0		0.02		
334	00053	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 82	4717	8.833	47.750	Singen	3			409	Spiralring mit eingerollten Enden		0		2		0.01		0.65		1.95		0.45		1.15	9	0.002		0	1	0	2	0		0.13		
335	00054	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 82	4717	8.833	47.750	Singen	3			806	Pfriem mit Mittelschwellung		0		2.7		0.05		1.8		3.4		0.6		2.3		0.003		0		0	3	0		0.05		
336	00057	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 85	4717	8.833	47.750	Singen	3			409	Spirale		0		0		0.13		0.86		1		0.29		0.9		0.002	2	0	1	0	2	0		0.12		
337	00058	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 78	4717	8.833	47.750	Singen	3			403	Ösenhalsring		0	1	0		0		0.13		1.65		0.55		0.75		0		0		0		0		0.02		
338	00236	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 51	4717	8.833	47.750	Singen	3			403	Ösenhalsring		0		0		0.25		1.15		2		0.4	7	2	1	0		0		0	2	0		0		
339	00237	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 51	4717	8.833	47.750	Singen	3			605	Schleifennadel, Horkheimer Nadel		0		0.05	1	0		1.1		1.9		0.9	7	2		0		0		0	2	0		0		
340	00238	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 51	4717	8.833	47.750	Singen	3			409	Spirale		0	1	0	1	0		2.2		2.4		0.9	7	2		0		0		0	2	0		0		
341	00726	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 73	4717	8.833	47.750	Singen	3			215	Dolch, kl., 5 Niete		0		9.4		0.02		0.72		2.2		0.8		0.79		0.003		0		0		0.08		0.06		
342	00727	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 73	4717	8.833	47.750	Singen	3			409	Armspirale		0		1.2		0		0.35		1.9		1.05		1.1	6	0.001		0		0		0.07		0.02		
343	00732	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 63	4717	8.833	47.750	Singen	3			212	Dolch, 4 Niete, eingez., halbrunde Griffplatte		0		0.7		0.02		0.47		1.1		0.7		1		0.002		0		0		0.06		0.04		
344	00733	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 63	4717	8.833	47.750	Singen	3			518	Blechtutulus		0		0.03		0.04		0.04		0.7		0.8		0.05		0		0		0	1	0		0.07		
345	00734	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 74	4717	8.833	47.750	Singen	3			407	Ringbruchstück		0		0.02		0.01		1.15		2.3		0.76		2.3	1	0		0		0		0.25		0.03		
346	00735	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 75	4717	8.833	47.750	Singen	3			212	Dolch, kl., 3 Niete		0		0.13		0		1.55		2.5		0.97	7	2.5	1	0		0		0		0.2		0.02		
347	00736	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 69	4717	8.833	47.750	Singen	3			212	Dolch, groß, 5 Niete, verz.		0		2.6		0.05		1.25		3.1		0.92	9	2.5		0.003		0		0		0.1		0.06		
348	00737	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 58	4717	8.833	47.750	Singen	3			603	Scheibennadel, kl., Platte korrodiert		0		0.01		0.04		0.15		0.8		0.96		0.06		0.002		0		0		0		0.01		
349	00738	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 67	4717	8.833	47.750	Singen	3			212	Dolch mit Heftzunge, 6 Niete, atlant. Dolch		0		5.1		0		1.35		0.08		0.04		0.04	9	0.001		0		0		0		0.06		+Si67
350	00739	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 67	4717	8.833	47.750	Singen	3			213	Niet von atlant. Dolch		0		0.05		0.02		0.7		1.7		0.75	9	2.5		0.007		0		0		0.13		0.04		+Si67
351	00740	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 66	4717	8.833	47.750	Singen	3			603	Scheibennadel, kl., eingerollte Kopfplatte		0		0.01		0		0.85		1.9		1.1		0.32		0.001		0		0		0	1	0		
352	00741	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 33	4717	8.833	47.750	Singen	3			212	Dolch, 5 Niete, verz.		0		0.3		0		0.3		3		0.84	9	2.5		0.006		0		0		0.2		0.02		
353	00728	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 65	4717	8.833	47.750	Singen	3			806	Pfriem mit Mittelschwellung		0		1.4		0.12		1.4		2.7		1.05	9	3.5		0.003		0		0	9	0.5		0.04		
354	00729	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 65	4717	8.833	47.750	Singen	3			212	Dolch, kl., 3 Niete		0		2.8		0.04		1.5		2.6		0.9		2.1		0.01		0		0		0.07		0.04		
355	00730	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 65	4717	8.833	47.750	Singen	3			409	Spirale		0		0.16		0.02		1.05		2.5		0.95		2.1		0.002		0		0		0.17		0.03		
356	00731	62	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 65	4717	8.833	47.750	Singen	3			604	Rudernadel, groß, verziert		0		0.05		0.16		1.6		3.1		0.9		2		0.004		0		0		0.06		0.03		
